"ecosystem","component","package","version","relationship","development_only","optional","licence_from_source","source_file","installation_path"
"npm","frontend","@tailwindcss/oxide-win32-arm64-msvc","4.2.1","transitive","true","true","MIT","kubeview-frontend/package-lock.json","node_modules/@tailwindcss/oxide-win32-arm64-msvc"
"npm","frontend","@tailwindcss/oxide-win32-x64-msvc","4.2.1","transitive","true","true","MIT","kubeview-frontend/package-lock.json","node_modules/@tailwindcss/oxide-win32-x64-msvc"
"npm","frontend","@tailwindcss/postcss","4.2.1","direct","true","false","MIT","kubeview-frontend/package-lock.json","node_modules/@tailwindcss/postcss"
"npm","frontend","@testing-library/dom","10.4.1","direct","true","false","MIT","kubeview-frontend/package-lock.json","node_modules/@testing-library/dom"
"npm","frontend","@testing-library/jest-dom","7.0.1","direct","true","false","MIT","kubeview-frontend/package-lock.json","node_modules/@testing-library/jest-dom"
"npm","frontend","@testing-library/react","16.3.2","direct","true","false","MIT","kubeview-frontend/package-lock.json","node_modules/@testing-library/react"
"npm","frontend","@tybys/wasm-util","0.10.1","transitive","true","true","MIT","kubeview-frontend/package-lock.json","node_modules/@tybys/wasm-util"
"npm","frontend","@types/aria-query","5.0.4","transitive","true","false","MIT","kubeview-frontend/package-lock.json","node_modules/@types/aria-query"
"npm","frontend","@types/chai","5.2.3","transitive","true","false","MIT","kubeview-frontend/package-lock.json","node_modules/@types/chai"
"npm","frontend","@types/deep-eql","4.0.2","transitive","true","false","MIT","kubeview-frontend/package-lock.json","node_modules/@types/deep-eql"
"npm","frontend","@types/estree","1.0.8","transitive","true","false","MIT","kubeview-frontend/package-lock.json","node_modules/@types/estree"
"npm","frontend","@types/json-schema","7.0.15","transitive","true","false","MIT","kubeview-frontend/package-lock.json","node_modules/@types/json-schema"
"npm","frontend","@types/json5","0.0.29","transitive","true","false","MIT","kubeview-frontend/package-lock.json","node_modules/@types/json5"
"npm","frontend","@types/node","20.19.35","direct","true","false","MIT","kubeview-frontend/package-lock.json","node_modules/@types/node"
"npm","frontend","@types/react","19.2.14","direct","true","false","MIT","kubeview-frontend/package-lock.json","node_modules/@types/react"
"npm","frontend","@types/react-dom","19.2.3","direct","true","false","MIT","kubeview-frontend/package-lock.json","node_modules/@types/react-dom"
"npm","frontend","@typescript-eslint/eslint-plugin","8.56.1","transitive","true","false","MIT","kubeview-frontend/package-lock.json","node_modules/@typescript-eslint/eslint-plugin"
"npm","frontend","@typescript-eslint/parser","8.56.1","transitive","true","false","MIT","kubeview-frontend/package-lock.json","node_modules/@typescript-eslint/parser"
